Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Category,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index
Mauritania,2016,31st,90.1,6.3,8.8,7,7.1,6.2,6.9,8.3,8.6,7.5,8.5,7.4,7.4,Alert,8.04,6.94,1.36,7.3235,1.99,7.97
Venezuela,2016,32nd,89.3,7.4,8.8,7.6,8.6,6.9,6.1,9.3,8.3,9,6.2,5.6,5.5,Alert,4.73,6.51,6.18,5.6985,0.62,4.45
Mozambique,2016,33rd,88.7,6.7,6.6,5.6,8.6,9.3,7.7,6.8,9.1,5.6,9.3,5.9,7.4,Alert,9.09,7.11,1.06,8.2705,0.86,8.52
Egypt,2016,34th,88.4,8.2,9.1,8.9,7.9,5.7,5.3,8.6,4.3,10,6.3,6.7,7.3,Alert,7.64,7.04,0.9,8.4935,5.36,6.66
Angola,2016,35th,87.8,6.9,7.2,7.5,6.6,9.3,6.6,8,8.7,6.7,8.9,6.5,4.9,Alert,5.41,6.35,1.54,8.2365,0.36,5.45
Bangladesh,2016,36th,87.7,7.6,9.6,8,6.1,6.1,7.6,7.6,7.5,7.3,7,7.5,5.8,Alert,4.18,6.37,1.66,4.533,3.5,2.67
Rwanda,2016,37th,87.5,6,8,9.8,6.2,7.8,7.1,6.8,6.8,6.6,7.4,8.1,6.9,Alert,6.78,7.3,1.48,5.389,1.49,5.84
Togo,2016,38th,87.4,7,7.6,5.4,7,8.3,7.5,8.5,8.5,7.2,7.5,6.9,6,Alert,7.93,6.94,0.7,7.4995,3.66,8.05
Sierra Leone,2016,39th,86.8,4.4,7.8,6.2,8.6,8.3,8,6.3,8.8,5.2,8.5,7.4,7.3,Alert,9.23,6.96,1.26,4.926,2.97,8.97
Zambia,2016,40th,85.7,5.1,5.9,5.3,7.5,9.4,7.3,8.1,7.3,7.4,9.2,6.1,7,Alert,5.82,7.06,0.8,2.414,5.23,4.74
Timor-Leste,2016,41st,85.5,6.6,8.3,5.9,7.5,6.8,7.6,6.1,7.9,4.7,9.2,5.7,9.2,Alert,8.99,7.03,2.16,6.1295,0.3,8.67
Eswatini,2016,42nd,85.3,5.7,6.8,2.8,9.8,8.2,7,8.5,7.5,8.8,8.6,4.3,7.3,Alert,6.46,7.33,0.88,3.1654,2.13,5.31
Djibouti,2016,43rd,85.1,5.9,7.3,5.9,7,7.7,5.2,8.1,7.6,7.7,7.8,6.7,8.2,Warning,7.18,7.35,1.24,3.9275,2.62,6.22
Lebanon,2016,44th,85,8.1,9.6,8.2,6,5.2,5.6,7.1,5.1,7.2,5,8.7,9.1,Warning,5.5,6.16,1.64,5.5105,4.46,5.18
Nepal,2016,45th,84.7,5.9,8.8,9.7,5.6,6.1,6.2,6.6,6.6,7.1,8.4,7.2,6.5,Warning,4.06,5.67,0.08,4.6905,5.58,3.95
Sri Lanka,2016,46th,84,6.8,9.1,9,5.5,6.5,7.1,6.9,4.5,8.4,6,7.8,6.3,Warning,8.57,8.13,1.52,3.3445,0.21,7.18
Burkina Faso,2016,47th,83.9,8.2,7.8,3.9,6.9,7.6,7.2,6.5,8.1,5.6,8.5,6,7.5,Warning,8.94,8.22,2.48,5.228,0.36,8.32
Gambia,2016,47th,83.9,6.3,7.7,3.2,8.4,6.3,7.9,7.8,7.3,8.4,8.2,6,6.4,Warning,5.65,7.34,6.78,6.447,1.7,4.89
Malawi,2016,49th,83.3,4.8,8.1,5.3,8,8.1,7.4,6.1,8,5.9,9.1,5.2,7.4,Warning,7.62,6.42,0.68,6.4695,0.85,6.59
Papua New Guinea,2016,50th,83.1,6.7,7.1,5.7,6.4,8.8,7.1,6.2,9.1,7,8.1,4.6,6.2,Warning,4.27,4.98,0.36,4.8335,5.47,4.23
Philippines,2016,50th,83.1,9.5,8,7.9,4.9,5.1,6,7.2,6.1,7.4,7.5,6.9,6.6,Warning,7.34,7.58,3.88,4.3605,0.98,6.31
Iran,2016,52nd,83,6.9,9.6,9.5,6.9,5.3,5.9,9,3.9,8.9,4.5,5.9,6.7,Warning,6.37,7.68,0.92,3.51,2.94,6.49
Equatorial Guinea,2016,53rd,82.6,5.9,8.2,6.3,5.9,8.1,4.9,9.8,8.1,8.6,7.9,4.5,4.4,Warning,5.9,6.23,1.92,4.2115,3.44,5.2
Cambodia,2016,54th,82.5,6.4,8.6,6.3,5.3,6.2,7.2,8.7,7.6,7.6,6.2,5.1,7.4,Warning,9.24,5.09,1.38,7.795,0.6,8.14
Solomon Islands,2016,55th,81.9,5.9,8.2,5.9,7.1,8.4,6.9,6.2,7.8,4.6,7.7,4.4,8.8,Warning,9.48,5.28,1.2,6.4555,5.84,9.16
Comoros,2016,56th,81.7,6.5,8,4.8,7.6,7,6.8,7.1,7.6,5.9,7.6,5.3,7.4,Warning,7.74,7.54,2.54,5.4535,2.72,7.04
Guatemala,2016,57th,81.4,7.1,7.1,9.1,5.1,7.5,7.3,6.7,6.9,7.3,7.2,5.4,4.6,Warning,9.23,8.02,2.9,3.7005,0.3,9.23
Madagascar,2016,58th,80.9,6.9,7.8,3.5,7.3,9,6.7,6.5,8.6,5.6,9,3.9,6.2,Warning,7.48,6.56,3.28,8.426,1.26,8.03
Turkey,2016,59th,80.3,7.7,8.8,10,4.6,5.3,4.7,7.5,4.6,8.1,4.9,9,5.1,Warning,4.88,8.26,5.6,8.441,3.44,3.18
Tanzania,2016,60th,80.1,5.4,5.7,5,6.2,7.1,7.6,6.3,8.8,6.4,8.3,6.1,7.2,Warning,6.38,6.64,1.54,6.1185,3.26,5.72
Lesotho,2016,61st,79.7,6.5,7.3,3.3,8.5,8.1,8,5.3,7.5,5.2,8.3,4.4,7.2,Warning,6.71,6.83,3.58,4.974,3.17,6.56
Laos,2016,62nd,78.7,5,8.3,6.7,5.4,5.9,7.4,9,6.4,7.3,6.7,5.1,5.5,Warning,6.94,6.44,1,6.335,3.7,6.18
Nicaragua,2016,63rd,78.1,5.8,7.1,5.9,5.7,7.4,7.9,8.1,6.2,7.3,5.1,4.2,7.4,Warning,7.23,7.49,0.88,7.9625,6.2,6.3
Honduras,2016,64th,77.8,7,7.3,5.3,6.1,7.1,6.4,6.9,6.4,6.9,5.9,5.1,7.5,Warning,5.14,8.04,0.9,8.307,0.22,4.45
Tajikistan,2016,65th,77.7,6.1,8.4,6.8,6.7,4.5,6,9,5.2,8.6,7.3,3.8,5.3,Warning,6.04,6.95,6.24,4.263,2.83,4.52
Senegal,2016,66th,77.2,5.6,7,5.8,7.1,7,7.7,4.1,7.4,5.4,7.4,6.7,6.1,Warning,7.92,7.42,0.32,3.675,0.97,7.78
Israel and West Bank,2016,67th,76.5,6.3,8.1,10,4.2,6.2,4.4,6.2,4.2,6.9,5.4,7.2,7.5,Warning,7.83,6.62,1.8,6.4175,1,8.08
Kyrgyz Republic,2016,68th,76.2,6.5,8,8.1,6.4,5.3,7,7.1,4.5,6.9,5.3,4.7,6.4,Warning,7.24,7.4,1.44,4.2875,1.41,6.3
Jordan,2016,69th,75.9,5.3,6.9,8.6,6.8,5.2,4.5,6,3.6,7.4,5.9,8.8,6.9,Warning,8.46,8,2.32,6.431,0.16,8.82
Colombia,2016,70th,75.7,6.9,7.6,7.1,4.8,6.8,5.6,5.7,5.3,6.7,6,7.8,5.4,Warning,7.43,7.48,2.12,4.47,2.2,6.58
Uzbekistan,2016,70th,75.7,6.8,8.8,6.6,5.8,6.2,5.5,9.5,4.4,7.9,5.1,5,4.1,Warning,9.16,8.4,1.18,5.5925,0.53,8.22
Algeria,2016,72nd,75.4,6.6,7.1,7.4,6.3,6,6.1,7.4,5.4,6.6,4.6,7.4,4.3,Warning,6.88,7.11,1.66,5.345,2.1,5.97
Russia,2016,73rd,74.7,8.3,8.1,8.6,4.6,5.6,3.6,8.2,3.6,9.1,4.4,5.2,5.4,Warning,7.37,7.29,0.54,6.688,4.57,6.71
India,2016,74th,74.4,7.2,7.3,8,5.3,6.4,6.1,4.1,6.8,5.6,7.7,4.7,5.1,Warning,7.19,6.09,1.32,4.548,1.19,6.16
Benin,2016,75th,73.6,5.9,6.7,2.8,6.5,8,7.1,4.8,8.3,4.9,7.7,4.9,6,Warning,8.45,8.17,1.82,4.76,0.72,7.84
Azerbaijan,2016,76th,73.2,5.8,7.9,5.9,4.4,5.5,4.3,9,4.8,8.3,4,7.1,6.2,Warning,7.98,7.82,1.18,5.023,0.3,7.64
Thailand,2016,77th,73.1,8.4,9.4,7.9,3.2,4.7,4.7,7.8,3.8,8.1,6.2,5.7,3.2,Warning,6.25,8.3,1.98,8.2365,4.58,6.58
Morocco,2016,78th,73,5.2,6.6,8.5,5.2,5.4,7.9,6.8,4.8,6.2,4.6,5.9,5.8,Warning,7.01,7.47,0.98,6.428,7.59,5.61
Micronesia,2016,78th,73,4,5.6,3.7,8.2,7.7,9.6,4.9,5.4,3.8,6.3,3.9,9.9,Warning,4.81,5.96,0.64,3.688,6.57,4.08
Bolivia,2016,80th,72.9,5.9,8,5.4,5.4,8.2,6.8,6.7,6.2,5.7,6,3.4,5.2,Warning,7.58,7.44,4.46,6.218,1.19,6.49
Georgia,2016,81st,72,6.2,9.1,7.3,5.6,4.9,4.9,8.1,3.7,5,3.1,6.9,7.2,Warning,7.46,6.5,1.86,7.91,1.17,6.73
Bhutan,2016,81st,72,3.9,7.5,8.5,5,5.3,6.9,3.7,5.5,6,5.5,6.4,7.7,Warning,4.7,6.2,0.76,5.886,5.58,3.1
Brazil,2016,83rd,71.8,7,6.2,7,5,7.4,4.5,7,6.6,6.9,7.3,3.3,3.6,Warning,7.95,8.16,0.66,6.331,7.15,6.48
Fiji,2016,84th,71.7,6.8,7.9,6.3,5.9,5.7,8.2,6.3,4.4,6.3,4.1,2.7,7.1,Warning,8.88,7.63,1.6,7.5395,9.02,8.86
Turkmenistan,2016,85th,71.4,5.7,7.8,6,5.3,6.4,5.1,9.7,5,8.9,5.1,2.9,3.5,Warning,4.14,5.88,0.78,7.196,6.28,3.3
Bosnia and Herzegovina,2016,86th,71.3,5.4,8.7,7.2,6.2,4.7,5.9,6.3,3.1,5,3.4,7.2,8.2,Warning,7.94,7.56,1.7,4.9805,1.23,7.73
Ecuador,2016,87th,71.2,6.2,8.2,6.7,5.7,6.4,5.2,5.7,5.9,4.2,5.7,5.5,5.7,Warning,5.52,5.51,0.54,6.764,5.85,4.1
Sao Tome and Principe,2016,88th,71.1,5,6.3,4.2,8.2,6,8.5,5,5.3,2.9,6.4,4.8,8.5,Warning,8.63,7.68,1.74,3.19,0.25,8.76
China,2016,88th,71.1,5.6,7.2,7.3,4.2,6.7,4.6,8.7,5.1,8.8,5.9,4.3,2.7,Warning,5.53,8.22,3.06,8.2215,1.95,4.36
South Africa,2016,88th,71.1,6.5,6.6,6.1,7.3,6.9,5.5,6.5,6.7,4.2,6.6,4.8,3.4,Warning,7.68,7.49,5.3,4.7265,1.13,7.94
Ukraine,2016,91st,71,7.1,8,6.1,6.5,3.6,5.2,7.6,3.8,6.6,3.6,4.7,8.4,Warning,8.65,8.09,1.52,3.399,0.37,8.3
Gabon,2016,92nd,70.5,4.8,7.9,3.2,5.8,5.9,5.8,7.8,6.3,7.4,6.5,3.9,5.1,Warning,8.55,8.09,2.78,7.4605,0.45,6.98
Saudi Arabia,2016,93rd,70.4,6,8.5,8.4,4.2,4.7,3.9,8.4,3.2,9.3,4.7,4.4,4.7,Warning,8.92,8.14,3.02,4.1715,0.3,8.2
Indonesia,2016,93rd,70.4,5.9,7.1,7.3,4.5,5.2,6.9,4.5,5.3,7,7.3,4.8,4.6,Warning,7.06,7,0.52,3.4575,1.46,7.04
Tunisia,2016,95th,70.1,7.7,7.8,7.1,6.7,4.9,5.9,6.7,4,5.9,3.6,4.1,5.8,Warning,8.34,7.52,2.12,6.7015,0.16,8.35
El Salvador,2016,96th,69.8,6.9,4.3,6.1,5.4,5.8,8.5,4.2,5.8,5.7,7,4.8,5.3,Warning,5.19,6.96,2.02,7.989,0.24,4.2
Maldives,2016,96th,69.8,5.8,8.6,4.2,5.3,3,6.2,8.3,5.2,7.7,5.4,4.1,5.9,Warning,8.05,7.47,1.94,7.744,0.7,8.16
Mexico,2016,98th,69.7,8.8,5.4,6.6,4.5,5.5,5.3,5.9,6.2,5.9,5.5,4.8,5.2,Warning,7.99,8.19,1.34,2.855,0.77,6.11
Peru,2016,99th,68.2,6.5,6.9,8,3.6,6.8,6.8,6.6,6.1,3.7,6.2,4.1,2.9,Warning,8.41,7.74,1.32,5.796,2.28,7.56
Guyana,2016,99th,68.2,6.7,5.1,6.7,5.8,5.1,8.8,4.8,5.6,3.4,5.6,3.5,7.1,Warning,7.24,7.78,2.6,4.899,1.95,6.15
Belarus,2016,99th,68.2,5.5,8.3,6.5,5.2,4.3,3.4,8.8,3.6,7.7,4.9,3,7,Warning,8.26,7.63,1.22,3.9975,1.15,8.07
Serbia,2016,102nd,68,5.1,8,7.7,6.2,4.2,5.3,5.5,3.6,4.1,3.7,8,6.6,Warning,6.88,7.48,1.4,8.3065,1.47,6.29
Moldova,2016,103rd,67.1,5.5,8.3,7,5.8,4.2,6.7,6.3,4.5,4.6,4.2,3.3,6.8,Warning,4.91,7.43,4.98,7.942,0.27,3.55
Paraguay,2016,104th,67,6.2,7.8,5.2,4.9,7.3,5.6,6.8,5.6,5.7,4.9,2.9,4.2,Warning,7.29,7.57,1.84,6.435,0.21,6.77
Armenia,2016,105th,66.7,4.9,7.4,5.5,6.5,3.9,6.4,7.1,3.3,6.6,2.5,6.4,6.3,Warning,7.9,7.54,0.88,4.868,1.02,7.13
Cape Verde,2016,106th,66.6,5,5.5,3.5,5.8,6.3,7.5,4.7,5.4,3.4,6.6,4.2,8.7,Warning,9.2,8.09,0.7,6.401,0.33,9.1
Namibia,2016,107th,66.4,5.1,3.5,5.2,7,7.9,6.8,3,6.8,3.2,7.8,4.4,5.8,Warning,5.75,6.14,0.34,6.8485,4.42,5.46
Dominican Republic,2016,108th,66.2,6.4,6.2,5.2,4.9,5.3,6.6,6,6.3,5.3,6.5,2.7,4.8,Warning,8.93,8.08,6.04,4.0295,0.2,8.47
Vietnam,2016,109th,66.1,4.2,6.9,5.8,4.3,4.2,5.9,8.4,4.1,7.8,5.5,4.1,4.9,Warning,8.23,7.73,3.22,5.9645,0.38,7.95
Ghana,2016,110th,65.9,4.6,4.9,3.8,5.7,6,7.8,3.6,7.2,5,6.6,4.4,6.3,Warning,7.39,7.59,1.72,4.0695,1.9,6.65
Macedonia,2016,111th,64.6,5.3,7.3,6.6,6.4,4.9,5.2,5.7,3.9,3.2,2.5,7.5,6.1,Warning,4.38,7.68,0.78,5.7275,0.52,3.12
Samoa,2016,112th,64.2,4.1,5.1,4.2,6.2,4.3,9.5,4.9,4.3,3.9,5.1,2.9,9.7,Warning,7.33,7.16,0.62,6.2015,0.29,7.38
Bahrain,2016,113th,63.8,6.3,7.6,9,3.9,4.3,3.4,8.5,1.8,8.6,3.7,2,4.8,Warning,5.14,5.55,1.52,3.386,5.86,4.93
Belize,2016,114th,62.5,6.9,4.3,4.1,6.3,4.8,6.3,4.6,5.3,5.3,4.3,3.1,7.2,Warning,4.95,7.93,1.18,6.5025,7.05,5.03
Suriname,2016,115th,61.9,4.6,5.8,5.8,7,5.9,6.2,4.4,5,4.3,5.1,2.5,5.3,Warning,8.54,8.02,1.88,5.87,0.26,7.86
Kazakhstan,2016,116th,61.6,4.6,7.6,8.1,5.6,3.6,3.6,8.5,3.4,6.7,3.9,2.4,3.6,Warning,5.48,7.68,1.32,5.572,0.22,3.95
Jamaica,2016,117th,61.2,6.8,3.7,2.8,6.5,4.5,8.6,4.2,6.2,5.6,4.4,2.7,5.2,Warning,8.53,5.8,1.46,5.4605,3.02,7.81
Cuba,2016,118th,60.8,4.6,7,3.4,4.2,4.8,5.2,7.5,3.9,6.7,5.3,3.4,4.8,Warning,7.62,7.78,3.5,2.1565,1.29,7.15
Malaysia,2016,119th,60.5,5.8,6.8,6,3.1,4.5,5.1,6.9,3.6,7.4,4.7,3.4,3.2,Warning,5.31,5.23,1.46,3.353,9.88,4.8
Botswana,2016,120th,59.5,3.8,3.3,4.3,5.8,7.2,5.5,2.7,6.5,5.1,7.9,3.9,3.5,Warning,8.52,6.82,3.94,5.394,1.36,8.52
Albania,2016,121st,58.9,5.1,6.2,4.3,6,3,7.8,5.7,3.8,4.2,3.1,3,6.7,Warning,6.98,6.45,0.32,4.837,3.56,6.58
Cyprus,2016,122nd,57.8,4.1,7.9,5.7,5.4,5.3,3.5,4.2,2.1,2.8,3.2,5.3,8.4,Warning,7.73,7.94,1.22,4.334,0.41,7.79
Grenada,2016,123rd,57.6,5.2,5.6,3.6,5.6,4.6,7.9,4.9,3.6,2.7,4.2,2.6,7.1,Warning,9.11,7.16,0.58,5.9,0.36,8.18
Brunei Darussalam,2016,124th,57.5,4.5,7.4,5.9,3.5,7.5,4.4,7.7,1.5,7.1,3.1,1.6,3.3,Warning,5.13,8.06,3.6,7.1635,6.61,3.77
Montenegro,2016,125th,55.3,4.6,6.5,8.5,5.3,1.8,4.1,4.1,3.3,3.7,2.2,4,7.1,Stable,4.93,7.01,3.78,7.488,1.01,4.26
Seychelles,2016,126th,55.2,5.8,6,4.2,3.9,5.3,5.7,4.9,2.1,3.8,4.5,2.6,6.4,Stable,8.95,8.08,0.22,4.209,0.34,8.41
Antigua and Barbuda,2016,127th,54.4,5.7,3.7,3.6,5.1,4.2,6.4,4.8,3.7,4.5,4.3,2.9,5.5,Stable,7.54,7.45,2.28,3.1245,1.44,6.77
Mongolia,2016,128th,54.1,3.2,5.5,3.2,4.8,5.8,3.8,4.1,4.8,4.2,4.9,2.6,7.2,Stable,9.38,4.9,0.66,7.338,4.88,8.92
Greece,2016,129th,53.9,4.3,4.1,4.8,5.7,2.9,3.3,6.1,3.8,3.3,3.9,5.7,6.1,Stable,8.64,7.88,0.6,5.3005,0.85,7.14
Kuwait,2016,130th,53.2,3.6,7.5,4.1,2.4,3.9,3.6,7.3,2,7.3,4.4,2.9,4.2,Stable,7.41,7.4,0.7,6.8135,1.35,7.01
Trinidad and Tobago,2016,131st,53,6.5,5.6,3.6,4.3,4.7,7.8,3.9,3.7,3.6,3.9,2.3,3.1,Stable,4.9,6.28,0.98,5.7255,5.35,4.22
Bulgaria,2016,132nd,50.6,4.3,5.3,4.8,5.2,3.8,4.2,3.9,3.8,3.2,3.5,4.3,4.3,Stable,9.24,8.09,0.56,5.885,0.32,9.14
Oman,2016,133rd,50,3.6,6.6,2.3,4.1,4.2,2.5,7,2.9,7.5,4.2,2.1,2.9,Stable,7.47,7.65,1.36,3.3685,0.54,6.94
Hungary,2016,134th,49.6,2.7,5.3,4.2,4.8,3.2,3.6,6.4,2.6,5.3,1.4,5.9,4.2,Stable,6.92,6.26,1.04,6.7205,1.51,6.13
Bahamas,2016,135th,48.8,4.9,4.5,3.5,4.2,4.2,4.3,3,4,4,6.3,2.2,3.7,Stable,5.75,7.16,1.18,4.8735,3.21,4.57
Barbados,2016,136th,48,4.6,4.2,3.5,5.7,4.3,5.3,1.9,2.4,3.5,4.6,1.9,6,Stable,6.42,8.18,5.38,5.916,0.33,5.42
Romania,2016,137th,47.8,2.5,5.7,6.2,4.4,3.6,4.5,5.6,3.4,3.5,2.6,2.3,3.6,Stable,6.03,7.44,0.76,8.0635,3.97,4.94
Croatia,2016,138th,47.5,3,4.4,5.2,5.3,2.7,4.9,2.3,2.6,3.2,2.9,6.4,4.6,Stable,4.31,7.31,2.66,7.38,4.23,3.74
Panama,2016,139th,47,5.2,2.2,5.6,2.8,6.6,4.6,2.9,4.4,3.8,4.1,2.5,2.3,Stable,7.79,6.31,1.98,6.1075,1.22,7.25
Argentina,2016,140th,46,4.9,2.8,4.4,4.9,5.2,3,4.2,3.3,3.9,3.2,1.9,4.3,Stable,5.15,7.76,1.36,6.742,1.85,4.22
Qatar,2016,141st,45.4,2,5,4,1.5,4.6,2.1,6.4,1.3,6.4,3.2,1.4,7.6,Stable,3.94,5.16,0.92,5.9715,8.67,2.8
Latvia,2016,142nd,43.9,3,4.3,8.5,3.5,3.5,5.1,2.8,2.4,3,2.3,2.2,3.3,Stable,4.25,5.87,3.46,4.0005,7.65,4.57
Italy,2016,143rd,43.8,5.1,4.9,4.9,5.2,2.3,2,3.4,3,1.4,3.5,5.3,2.8,Stable,7.58,7.08,0.24,3.1145,2.89,7.23
Poland,2016,144th,42.8,2.4,4.2,6.2,3.8,2.4,4.7,4.1,2.1,4.2,2.4,3,3.4,Stable,5.25,6.14,0.66,6.024,1.94,4.75
Costa Rica,2016,145th,42,3.7,3.8,3.6,4.6,4.7,4.1,1.8,3.4,1.5,2.7,3.7,4.4,Stable,5.86,6.6,0.3,6.3035,2.07,5.9
Estonia,2016,146th,40.8,2.7,5.9,7.6,3.1,2.6,4.3,2.1,2.3,1.7,2.2,2.5,3.7,Stable,5.82,5.76,1.06,5.5325,7.03,4.39
Spain,2016,147th,40.7,3.4,6.9,6.1,4.6,2.9,1.3,6.9,1.9,1.2,1.4,2,2,Stable,6.78,7.27,2.78,5.453,6.74,6.55
Slovak Republic,2016,148th,40.5,1.8,5,6.3,4,2.9,4,4.4,2,2.4,1.7,3.2,2.7,Stable,7.84,7.61,3.24,3.4425,0.61,6.95
United Arab Emirates,2016,149th,40.1,3.1,3.6,2.8,2.2,2.8,2.5,6.6,1.6,7.6,3.4,1.8,2.1,Stable,6.49,6.94,2.74,6.9625,0.31,5
Mauritius,2016,150th,38.9,1.7,3.2,3.8,4.5,2.9,4.3,2.4,2.9,3.8,3,2.3,4.1,Stable,7.87,6.28,1.54,5.4805,0.78,7
Chile,2016,150th,38.9,3.8,2.2,3,3.7,5.1,3.8,2.7,3.4,3.2,4.7,1.8,1.5,Stable,8.75,7.86,1.32,4.4875,0.29,8.78
